datetime,t2m,mer,mror,msmr,mtpr,sd,swvl1,sd_diff,mtpr_1days,mtpr_2days,mtpr_3days,mtpr_4days,mtpr_5days,mtpr_6days,mtpr_7days,msmr_1days,msmr_2days,msmr_3days,msmr_4days,msmr_5days,msmr_6days,msmr_7days
2020-01-01,278.05164,-4.9148584e-06,9.411685e-06,3.857842e-05,7.20028e-05,0.012008201,0.36448735,,,,,,,,,,,,,,,
2020-01-02,275.52686,-5.5411683e-06,1.2523974e-06,2.0570285e-06,3.304604e-06,0.011235027,0.36827898,-0.0007731747,7.20028e-05,,,,,,,3.857842e-05,,,,,,
2020-01-03,275.91974,-5.653563e-06,1.1272981e-06,2.816274e-06,1.0385217e-09,0.011049668,0.3564773,-0.00018535834,3.304604e-06,7.20028e-05,,,,,,2.0570285e-06,3.857842e-05,,,,,
2020-01-04,276.20657,-7.8787325e-06,6.092964e-06,2.9803186e-06,8.261282e-05,0.013031139,0.3584012,0.0,1.0385217e-09,3.304604e-06,7.20028e-05,,,,,2.816274e-06,2.0570285e-06,3.857842e-05,,,,
2020-01-05,273.75577,-4.271848e-06,2.1841065e-06,2.3153627e-06,3.7965023e-05,0.013573533,0.3550737,0.0,8.261282e-05,1.0385217e-09,3.304604e-06,7.20028e-05,,,,2.9803186e-06,2.816274e-06,2.0570285e-06,3.857842e-05,,,
2020-01-06,273.73807,-5.5513024e-06,1.4680321e-06,2.8480347e-06,1.5015528e-06,0.013574222,0.3483607,0.0,3.7965023e-05,8.261282e-05,1.0385217e-09,3.304604e-06,7.20028e-05,,,2.3153627e-06,2.9803186e-06,2.816274e-06,2.0570285e-06,3.857842e-05,,
2020-01-07,274.0094,-4.4744256e-06,1.7439063e-06,1.8150571e-06,4.4841026e-06,0.013120124,0.3438485,-0.000454098,1.5015528e-06,3.7965023e-05,8.261282e-05,1.0385217e-09,3.304604e-06,7.20028e-05,,2.8480347e-06,2.3153627e-06,2.9803186e-06,2.816274e-06,2.0570285e-06,3.857842e-05,
2020-01-08,274.08206,-4.382915e-06,6.084873e-06,3.263018e-06,7.0845264e-05,0.014871157,0.3485735,0.0,4.4841026e-06,1.5015528e-06,3.7965023e-05,8.261282e-05,1.0385217e-09,3.304604e-06,7.20028e-05,1.8150571e-06,2.8480347e-06,2.3153627e-06,2.9803186e-06,2.816274e-06,2.0570285e-06,3.857842e-05
2020-01-09,273.63455,-5.5306023e-06,5.04106e-06,5.0685785e-06,0.00010802011,0.019723037,0.34895754,0.0,7.0845264e-05,4.4841026e-06,1.5015528e-06,3.7965023e-05,8.261282e-05,1.0385217e-09,3.304604e-06,3.263018e-06,1.8150571e-06,2.8480347e-06,2.3153627e-06,2.9803186e-06,2.816274e-06,2.0570285e-06
2020-01-10,271.07144,-5.021264e-06,1.6256449e-06,2.481111e-06,1.1859512e-06,0.018127793,0.34424534,-0.0015952438,0.00010802011,7.0845264e-05,4.4841026e-06,1.5015528e-06,3.7965023e-05,8.261282e-05,1.0385217e-09,5.0685785e-06,3.263018e-06,1.8150571e-06,2.8480347e-06,2.3153627e-06,2.9803186e-06,2.816274e-06
2020-01-11,274.46756,-6.282934e-06,5.359399e-06,4.222967e-06,0.00013651738,0.021983624,0.34597635,0.0,1.1859512e-06,0.00010802011,7.0845264e-05,4.4841026e-06,1.5015528e-06,3.7965023e-05,8.261282e-05,2.481111e-06,5.0685785e-06,3.263018e-06,1.8150571e-06,2.8480347e-06,2.3153627e-06,2.9803186e-06
2020-01-12,272.8699,-2.7864712e-06,4.177542e-06,4.282597e-06,7.388716e-05,0.02424391,0.34222668,0.0,0.00013651738,1.1859512e-06,0.00010802011,7.0845264e-05,4.4841026e-06,1.5015528e-06,3.7965023e-05,4.222967e-06,2.481111e-06,5.0685785e-06,3.263018e-06,1.8150571e-06,2.8480347e-06,2.3153627e-06
2020-01-13,273.03452,-3.343665e-06,4.8242814e-06,3.73283e-06,0.00011947299,0.028086085,0.34084812,0.0,7.388716e-05,0.00013651738,1.1859512e-06,0.00010802011,7.0845264e-05,4.4841026e-06,1.5015528e-06,4.282597e-06,4.222967e-06,2.481111e-06,5.0685785e-06,3.263018e-06,1.8150571e-06,2.8480347e-06
2020-01-14,272.35825,-3.5609876e-06,8.863576e-06,7.502432e-06,0.00017350801,0.03656598,0.3384596,0.0,0.00011947299,7.388716e-05,0.00013651738,1.1859512e-06,0.00010802011,7.0845264e-05,4.4841026e-06,3.73283e-06,4.282597e-06,4.222967e-06,2.481111e-06,5.0685785e-06,3.263018e-06,1.8150571e-06
2020-01-15,270.37155,-3.5157045e-06,2.1925214e-06,3.1243258e-07,1.282104e-05,0.035468828,0.33337104,-0.0010971539,0.00017350801,0.00011947299,7.388716e-05,0.00013651738,1.1859512e-06,0.00010802011,7.0845264e-05,7.502432e-06,3.73283e-06,4.282597e-06,4.222967e-06,2.481111e-06,5.0685785e-06,3.263018e-06
2020-01-16,273.0393,-4.9213745e-06,3.9689385e-06,5.972897e-06,0.00026967784,0.043406516,0.3305419,0.0,1.282104e-05,0.00017350801,0.00011947299,7.388716e-05,0.00013651738,1.1859512e-06,0.00010802011,3.1243258e-07,7.502432e-06,3.73283e-06,4.282597e-06,4.222967e-06,2.481111e-06,5.0685785e-06
2020-01-17,270.38168,-3.1561863e-06,2.744972e-06,2.0288626e-06,5.483646e-05,0.04906075,0.32916185,0.0,0.00026967784,1.282104e-05,0.00017350801,0.00011947299,7.388716e-05,0.00013651738,1.1859512e-06,5.972897e-06,3.1243258e-07,7.502432e-06,3.73283e-06,4.282597e-06,4.222967e-06,2.481111e-06
2020-01-18,273.03497,-3.7065154e-06,3.5268365e-06,4.8255647e-06,1.4629292e-05,0.044013392,0.32785934,-0.0050473586,5.483646e-05,0.00026967784,1.282104e-05,0.00017350801,0.00011947299,7.388716e-05,0.00013651738,2.0288626e-06,5.972897e-06,3.1243258e-07,7.502432e-06,3.73283e-06,4.282597e-06,4.222967e-06
2020-01-19,274.36707,-3.8985654e-06,6.0537445e-06,1.5880953e-05,1.1962901e-06,0.03982119,0.3307076,-0.0041922033,1.4629292e-05,5.483646e-05,0.00026967784,1.282104e-05,0.00017350801,0.00011947299,7.388716e-05,4.8255647e-06,2.0288626e-06,5.972897e-06,3.1243258e-07,7.502432e-06,3.73283e-06,4.282597e-06
2020-01-20,275.44147,-6.1268456e-06,5.074332e-06,1.0062012e-05,4.6653317e-06,0.03700617,0.3326182,-0.0028150193,1.1962901e-06,1.4629292e-05,5.483646e-05,0.00026967784,1.282104e-05,0.00017350801,0.00011947299,1.5880953e-05,4.8255647e-06,2.0288626e-06,5.972897e-06,3.1243258e-07,7.502432e-06,3.73283e-06
2020-01-21,275.5155,-5.3163803e-06,1.0724414e-05,2.0675576e-05,9.868107e-05,0.03782127,0.33790508,0.0,4.6653317e-06,1.1962901e-06,1.4629292e-05,5.483646e-05,0.00026967784,1.282104e-05,0.00017350801,1.0062012e-05,1.5880953e-05,4.8255647e-06,2.0288626e-06,5.972897e-06,3.1243258e-07,7.502432e-06
2020-01-22,274.96576,-3.2237801e-06,5.4588163e-06,1.27938465e-05,2.3638033e-05,0.037981693,0.350809,0.0,9.868107e-05,4.6653317e-06,1.1962901e-06,1.4629292e-05,5.483646e-05,0.00026967784,1.282104e-05,2.0675576e-05,1.0062012e-05,1.5880953e-05,4.8255647e-06,2.0288626e-06,5.972897e-06,3.1243258e-07
2020-01-23,276.48682,-2.4451124e-06,6.9764574e-06,2.8380935e-05,6.4858546e-06,0.03717346,0.35722342,-0.00080823153,2.3638033e-05,9.868107e-05,4.6653317e-06,1.1962901e-06,1.4629292e-05,5.483646e-05,0.00026967784,1.27938465e-05,2.0675576e-05,1.0062012e-05,1.5880953e-05,4.8255647e-06,2.0288626e-06,5.972897e-06
2020-01-24,277.85144,-5.780643e-06,2.079526e-05,4.5424196e-05,8.943198e-05,0.03482863,0.38586545,-0.0023448318,6.4858546e-06,2.3638033e-05,9.868107e-05,4.6653317e-06,1.1962901e-06,1.4629292e-05,5.483646e-05,2.8380935e-05,1.27938465e-05,2.0675576e-05,1.0062012e-05,1.5880953e-05,4.8255647e-06,2.0288626e-06
2020-01-25,277.36588,-3.9130873e-06,1.373798e-05,2.8729164e-05,5.1682662e-05,0.03426688,0.38321343,-0.0005617477,8.943198e-05,6.4858546e-06,2.3638033e-05,9.868107e-05,4.6653317e-06,1.1962901e-06,1.4629292e-05,4.5424196e-05,2.8380935e-05,1.27938465e-05,2.0675576e-05,1.0062012e-05,1.5880953e-05,4.8255647e-06
2020-01-26,278.70297,-6.1560313e-06,4.7963294e-05,7.345301e-05,0.00019898282,0.03171161,0.41954827,-0.0025552735,5.1682662e-05,8.943198e-05,6.4858546e-06,2.3638033e-05,9.868107e-05,4.6653317e-06,1.1962901e-06,2.8729164e-05,4.5424196e-05,2.8380935e-05,1.27938465e-05,2.0675576e-05,1.0062012e-05,1.5880953e-05
2020-01-27,277.32062,-7.375778e-06,1.5135907e-05,1.200669e-05,5.7055935e-05,0.030393893,0.4040552,-0.0013177153,0.00019898282,5.1682662e-05,8.943198e-05,6.4858546e-06,2.3638033e-05,9.868107e-05,4.6653317e-06,7.345301e-05,2.8729164e-05,4.5424196e-05,2.8380935e-05,1.27938465e-05,2.0675576e-05,1.0062012e-05
2020-01-28,277.74,-7.930372e-06,2.580702e-05,2.4197387e-05,0.000107775726,0.030748073,0.40643716,0.0,5.7055935e-05,0.00019898282,5.1682662e-05,8.943198e-05,6.4858546e-06,2.3638033e-05,9.868107e-05,1.200669e-05,7.345301e-05,2.8729164e-05,4.5424196e-05,2.8380935e-05,1.27938465e-05,2.0675576e-05
2020-01-29,275.7509,-6.913578e-06,8.374594e-06,4.7886197e-06,6.529949e-06,0.031016376,0.39488578,0.0,0.000107775726,5.7055935e-05,0.00019898282,5.1682662e-05,8.943198e-05,6.4858546e-06,2.3638033e-05,2.4197387e-05,1.200669e-05,7.345301e-05,2.8729164e-05,4.5424196e-05,2.8380935e-05,1.27938465e-05
2020-01-30,278.47964,-7.929233e-06,1.0793057e-05,1.9882245e-05,1.764205e-05,0.030582935,0.389361,-0.00043344125,6.529949e-06,0.000107775726,5.7055935e-05,0.00019898282,5.1682662e-05,8.943198e-05,6.4858546e-06,4.7886197e-06,2.4197387e-05,1.200669e-05,7.345301e-05,2.8729164e-05,4.5424196e-05,2.8380935e-05
2020-01-31,278.94397,-8.194753e-06,7.7882305e-06,1.697274e-05,5.6588934e-08,0.02922608,0.38219717,-0.001356855,1.764205e-05,6.529949e-06,0.000107775726,5.7055935e-05,0.00019898282,5.1682662e-05,8.943198e-05,1.9882245e-05,4.7886197e-06,2.4197387e-05,1.200669e-05,7.345301e-05,2.8729164e-05,4.5424196e-05
2020-02-01,279.35202,-8.2977e-06,6.2624767e-06,9.832675e-06,7.5590884e-07,0.027796086,0.3747667,-0.0014299937,5.6588934e-08,1.764205e-05,6.529949e-06,0.000107775726,5.7055935e-05,0.00019898282,5.1682662e-05,1.697274e-05,1.9882245e-05,4.7886197e-06,2.4197387e-05,1.200669e-05,7.345301e-05,2.8729164e-05
2020-02-02,275.95456,-1.04964165e-05,6.8379472e-06,7.946979e-06,3.2855e-05,0.027446553,0.37315392,-0.0003495328,7.5590884e-07,5.6588934e-08,1.764205e-05,6.529949e-06,0.000107775726,5.7055935e-05,0.00019898282,9.832675e-06,1.697274e-05,1.9882245e-05,4.7886197e-06,2.4197387e-05,1.200669e-05,7.345301e-05
2020-02-03,270.04248,-7.3713163e-06,4.4917715e-06,3.12787e-08,6.445875e-06,0.027834406,0.36408868,0.0,3.2855e-05,7.5590884e-07,5.6588934e-08,1.764205e-05,6.529949e-06,0.000107775726,5.7055935e-05,7.946979e-06,9.832675e-06,1.697274e-05,1.9882245e-05,4.7886197e-06,2.4197387e-05,1.200669e-05
2020-02-04,269.55908,-6.91737e-06,4.199742e-06,7.2008056e-08,2.1198751e-07,0.02748052,0.35751107,-0.0003538858,6.445875e-06,3.2855e-05,7.5590884e-07,5.6588934e-08,1.764205e-05,6.529949e-06,0.000107775726,3.12787e-08,7.946979e-06,9.832675e-06,1.697274e-05,1.9882245e-05,4.7886197e-06,2.4197387e-05
2020-02-05,274.3484,-4.804867e-06,4.2078336e-06,1.4418977e-06,6.406697e-06,0.027478445,0.35228866,-2.0749867e-06,2.1198751e-07,6.445875e-06,3.2855e-05,7.5590884e-07,5.6588934e-08,1.764205e-05,6.529949e-06,7.2008056e-08,3.12787e-08,7.946979e-06,9.832675e-06,1.697274e-05,1.9882245e-05,4.7886197e-06
2020-02-06,276.9081,-6.266222e-06,4.4872086e-06,7.347352e-06,3.5341693e-06,0.027526597,0.35222182,0.0,6.406697e-06,2.1198751e-07,6.445875e-06,3.2855e-05,7.5590884e-07,5.6588934e-08,1.764205e-05,1.4418977e-06,7.2008056e-08,3.12787e-08,7.946979e-06,9.832675e-06,1.697274e-05,1.9882245e-05
2020-02-07,277.04117,-9.088784e-06,4.063211e-06,4.6349564e-06,1.4324469e-07,0.026896792,0.3502215,-0.000629805,3.5341693e-06,6.406697e-06,2.1198751e-07,6.445875e-06,3.2855e-05,7.5590884e-07,5.6588934e-08,7.347352e-06,1.4418977e-06,7.2008056e-08,3.12787e-08,7.946979e-06,9.832675e-06,1.697274e-05
2020-02-08,276.1792,-8.519223e-06,3.7831092e-06,1.2514552e-06,8.011133e-06,0.026665453,0.3441446,-0.00023133866,1.4324469e-07,3.5341693e-06,6.406697e-06,2.1198751e-07,6.445875e-06,3.2855e-05,7.5590884e-07,4.6349564e-06,7.347352e-06,1.4418977e-06,7.2008056e-08,3.12787e-08,7.946979e-06,9.832675e-06
2020-02-09,273.226,-9.361044e-06,3.3993674e-06,1.9049981e-08,9.253521e-07,0.026771313,0.3381626,0.0,8.011133e-06,1.4324469e-07,3.5341693e-06,6.406697e-06,2.1198751e-07,6.445875e-06,3.2855e-05,1.2514552e-06,4.6349564e-06,7.347352e-06,1.4418977e-06,7.2008056e-08,3.12787e-08,7.946979e-06
2020-02-10,274.6755,-1.0121431e-05,3.3942733e-06,1.3381753e-06,0.0,0.026689414,0.33233783,-8.1898645e-05,9.253521e-07,8.011133e-06,1.4324469e-07,3.5341693e-06,6.406697e-06,2.1198751e-07,6.445875e-06,1.9049981e-08,1.2514552e-06,4.6349564e-06,7.347352e-06,1.4418977e-06,7.2008056e-08,3.12787e-08
2020-02-11,276.79404,-1.0243962e-05,3.4907407e-06,2.7114008e-06,0.0,0.026484082,0.32731014,-0.00020533241,0.0,9.253521e-07,8.011133e-06,1.4324469e-07,3.5341693e-06,6.406697e-06,2.1198751e-07,1.3381753e-06,1.9049981e-08,1.2514552e-06,4.6349564e-06,7.347352e-06,1.4418977e-06,7.2008056e-08
2020-02-12,277.12604,-1.0225563e-05,3.3810236e-06,2.3457633e-06,5.0193716e-09,0.026169736,0.32175502,-0.00031434558,0.0,0.0,9.253521e-07,8.011133e-06,1.4324469e-07,3.5341693e-06,6.406697e-06,2.7114008e-06,1.3381753e-06,1.9049981e-08,1.2514552e-06,4.6349564e-06,7.347352e-06,1.4418977e-06
2020-02-13,276.49454,-9.689312e-06,3.2592136e-06,1.825949e-06,6.7059385e-09,0.025935575,0.31590647,-0.00023416057,5.0193716e-09,0.0,0.0,9.253521e-07,8.011133e-06,1.4324469e-07,3.5341693e-06,2.3457633e-06,2.7114008e-06,1.3381753e-06,1.9049981e-08,1.2514552e-06,4.6349564e-06,7.347352e-06
2020-02-14,276.74048,-8.993046e-06,3.158795e-06,1.2327966e-06,7.8347745e-07,0.025725761,0.31169945,-0.00020981394,6.7059385e-09,5.0193716e-09,0.0,0.0,9.253521e-07,8.011133e-06,1.4324469e-07,1.825949e-06,2.3457633e-06,2.7114008e-06,1.3381753e-06,1.9049981e-08,1.2514552e-06,4.6349564e-06
2020-02-15,275.77097,-6.5145223e-06,3.0595413e-06,6.333576e-07,6.3772236e-06,0.02568495,0.30676526,-4.0810555e-05,7.8347745e-07,6.7059385e-09,5.0193716e-09,0.0,0.0,9.253521e-07,8.011133e-06,1.2327966e-06,1.825949e-06,2.3457633e-06,2.7114008e-06,1.3381753e-06,1.9049981e-08,1.2514552e-06
2020-02-16,276.98145,-6.7590163e-06,6.2667655e-06,6.3468833e-06,5.9032525e-05,0.027367875,0.31165195,0.0,6.3772236e-06,7.8347745e-07,6.7059385e-09,5.0193716e-09,0.0,0.0,9.253521e-07,6.333576e-07,1.2327966e-06,1.825949e-06,2.3457633e-06,2.7114008e-06,1.3381753e-06,1.9049981e-08
2020-02-17,274.75537,-1.0185367e-05,3.0665026e-06,1.319903e-06,7.309763e-07,0.027416782,0.3214077,0.0,5.9032525e-05,6.3772236e-06,7.8347745e-07,6.7059385e-09,5.0193716e-09,0.0,0.0,6.3468833e-06,6.333576e-07,1.2327966e-06,1.825949e-06,2.3457633e-06,2.7114008e-06,1.3381753e-06
2020-02-18,273.79782,-1.0537309e-05,2.804957e-06,2.1864446e-07,0.0,0.027138185,0.31366166,-0.0002785977,7.309763e-07,5.9032525e-05,6.3772236e-06,7.8347745e-07,6.7059385e-09,5.0193716e-09,0.0,1.319903e-06,6.3468833e-06,6.333576e-07,1.2327966e-06,1.825949e-06,2.3457633e-06,2.7114008e-06
